route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
27323,MARTA,1,Marietta Blvd/Joseph E Lowery Blvd,,3,https://itsmarta.com/1.aspx,FF00FF,000000
27324,MARTA,2,Ponce de Leon Avenue / Druid Hills,,3,https://itsmarta.com/2.aspx,008000,000000
27325,MARTA,3,Martin Luther King Jr Dr/Auburn Ave,,3,https://itsmarta.com/3.aspx,FF8000,000000
27326,MARTA,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,000000
27327,MARTA,5,Piedmont Road / Sandy Springs,,3,https://itsmarta.com/5.aspx,00FFFF,000000
27328,MARTA,6,Clifton Road / Emory,,3,https://itsmarta.com/6.aspx,008080,000000
27329,MARTA,8,North Druid Hills Road,,3,https://itsmarta.com/8.aspx,008000,000000
27330,MARTA,9,Boulevard / Tilson Road,,3,https://itsmarta.com/9.aspx,00FFFF,000000
27331,MARTA,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,000000
27332,MARTA,14,14th Street / Blandtown,,3,https://itsmarta.com/14.aspx,00FF00,000000
27333,MARTA,15,Candler Road,,3,https://itsmarta.com/15.aspx,00FF00,000000
27334,MARTA,19,Clairmont Road / Howard Avenue,,3,https://itsmarta.com/19.aspx,FF00FF,000000
27335,MARTA,21,Memorial Drive,,3,https://itsmarta.com/21.aspx,FF00FF,000000
27336,MARTA,24,McAfee / Hosea Williams,,3,https://itsmarta.com/24.aspx,FF00FF,000000
27337,MARTA,25,Peachtree Boulevard,,3,https://itsmarta.com/25.aspx,FF00FF,000000
27338,MARTA,26,Marietta Street / Perry Boulevard,,3,https://itsmarta.com/26.aspx,008080,000000
27339,MARTA,27,Cheshire Bridge Road,,3,https://itsmarta.com/27.aspx,FF0080,000000
27340,MARTA,30,LaVista Road,,3,https://itsmarta.com/30.aspx,00FF00,000000
27341,MARTA,32,Bouldercrest,,3,https://itsmarta.com/32.aspx,00FF00,000000
27342,MARTA,34,Gresham Road,,3,https://itsmarta.com/34.aspx,FF00FF,000000
27343,MARTA,36,N Decatur Road / Virginia Highland,,3,https://itsmarta.com/36.aspx,A6CAF0,000000
27344,MARTA,37,Defoors Ferry Road,,3,https://itsmarta.com/37.aspx,00FF80,000000
27345,MARTA,39,Buford Highway,,3,https://itsmarta.com/39.aspx,008000,000000
27346,MARTA,40,Peachtree Street / Downtown,,3,https://itsmarta.com/40.aspx,FFFF00,000000
27347,MARTA,42,Pryor Road,,3,https://itsmarta.com/42.aspx,FF8000,000000
27348,MARTA,47,I-85 Access Road,,3,https://itsmarta.com/47.aspx,FF8080,000000
27349,MARTA,49,McDonough Boulevard,,3,https://itsmarta.com/49.aspx,FF8040,000000
27350,MARTA,50,Donald Lee Hollowell Parkway,,3,https://itsmarta.com/50.aspx,00FF00,000000
27351,MARTA,51,Joseph E Boone Boulevard,,3,https://itsmarta.com/51.aspx,00FFFF,000000
27352,MARTA,55,Jonesboro Road,,3,https://itsmarta.com/55.aspx,FF8000,000000
27353,MARTA,58,Hollywood Road / Lucile Avenue,,3,https://itsmarta.com/58.aspx,A6CAF0,000000
27354,MARTA,60,Hightower Road,,3,https://itsmarta.com/60.aspx,00FFFF,000000
